Name                                 RA           Dec         z    R500   err    T500   err     M500      err      R2500  err    T2500  err     M2500     err         LX       err        c500    err       c     err     P1/P0     err        P2/P0     err        P3/P0     err         w        err        w_azi     err       ellip   posang    K0    err     K100   err   alpha err   t_c_ctr  err   R2500_hy  Mtot@R2500h  err     Mgas@R2500h  err    fgas@R2500h err Mtot@R2500s  err     Mgas@R2500s  err    fgas@R2500s err
                                  (J2000)       (J2000)               (Mpc)         (keV)           (M_Sun)           (Mpc)         (keV)           (M_Sun)            (erg s-1)         (0.1-0.5R500)    (100-500kpc)                                                                                                                    (rad)     (keV cm2)     (keV cm2)                    (Gyr)        (Mpc)         (M_Sun)              (M_Sun)                             (M_Sun)              (M_Sun)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1RXS_J111039.6+284316            11:10:42.95   28:43:23.1  0.0220  0.738 0.049   2.331 0.241  1.197e+14 2.405e+13  0.337 0.010   2.532 0.105  5.711e+13 5.261e+12  1.694e+42 7.637e+40      -      -        -      -    5.075e+00 2.165e+00  4.007e-01 2.322e-01  5.009e-02 4.562e-02  2.877e-03 7.570e-05  8.452e-02 2.224e-03  0.9850   5.4002   74.69   7.43  434.97 798.51  4.24 3.22   9.552  5.074    0.718   5.510e+14 1.342e+14      -         -         -      -     2.222e+14 5.367e+13      -         -         -      -  
1WGA_J2235.3-2557                22:35:20.76  -25:57:40.6  1.3930  0.711 0.240   8.720 2.554  4.673e+14 4.905e+14    -     -       -     -        -         -      5.943e+44 4.088e+43    0.496  0.026      -      -    2.167e-01 3.532e-01  1.217e-02 2.510e-02  1.054e-03 5.042e-03  6.230e-03 1.639e-04  8.905e-02 2.343e-03  0.2181  -1.0158     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
2MASSi_J0913454+405628            9:13:45.47   40:56:28.7  0.4422  0.994 0.064   6.053 0.534  4.436e+14 8.541e+13  0.457 0.030   6.421 0.591  2.154e+14 4.293e+13  1.939e+45 2.721e+43   14.228  0.361   23.200  0.514  3.259e-02 5.683e-02  6.435e-03 8.180e-03  1.049e-04 1.013e-03  1.303e-03 3.429e-05  4.144e-02 1.091e-03  0.7932  -5.2299   24.63   1.44   94.68   2.96  1.20 0.03   0.749  0.060    0.397   1.415e+14 3.849e+12  1.901e+13 3.198e+11  0.1344 0.0043   1.613e+14 4.322e+12  2.267e+13 4.342e+11  0.1405 0.0046
2MASX_J13312961+1107566          13:31:29.62   11:07:56.9  0.0790  0.358 0.033   0.628 0.031  1.434e+13 4.040e+12  0.155 0.009   0.652 0.042  5.795e+12 1.028e+12  1.839e+42 1.695e+42    6.713  1.993      -      -    2.038e-01 7.034e-01  1.428e-02 8.423e-02  2.166e-02 5.546e-02  3.060e-03 8.052e-05  8.175e-02 2.151e-03  0.0933   0.2329    4.37   0.02  128.65   0.40  1.41 0.00   0.599  0.222    0.170   7.660e+12 1.877e+12      -         -         -      -     6.914e+12 1.619e+12      -         -         -      -  
2MFGC_06756                       8:34:54.92   55:34:21.1  0.2411  0.975 0.034   4.776 0.226  3.389e+14 3.592e+13  0.445 0.014   5.053 0.228  1.610e+14 1.560e+13  6.251e+44 8.703e+42    5.755  0.150   18.765  0.269  2.387e-02 5.243e-02  1.759e-01 3.488e-02  1.271e-04 5.623e-04  9.970e-04 2.624e-05  4.913e-02 1.293e-03  0.3291   2.2721   29.49   4.25   84.50   6.06  1.30 0.07   1.762  0.544    0.370   9.279e+13 2.419e+12  1.349e+13 1.429e+11  0.1453 0.0041   1.125e+14 2.987e+12  1.710e+13 2.184e+11  0.1520 0.0045
3C_028                            0:55:50.40   26:24:36.5  0.1953  1.219 0.036   6.975 0.175  6.315e+14 5.550e+13  0.544 0.012   6.994 0.169  2.812e+14 1.906e+13  4.370e+44 4.000e+42    1.377  0.060   10.974  0.122  2.745e+01 1.277e+00  8.716e-02 2.688e-02  2.736e-02 8.422e-03  4.032e-03 1.061e-04  6.536e-02 1.720e-03  0.5292   4.3593     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
3C_089                            3:34:15.00   -1:11:17.4  0.1386  0.978 0.046   4.371 0.322  3.097e+14 4.355e+13  0.439 0.021   4.513 0.338  1.403e+14 1.976e+13  1.137e+44 2.615e+42    5.430  0.328      -      -    9.596e+00 2.423e+00  1.533e-01 1.224e-01  4.005e-03 1.423e-02  3.235e-03 8.512e-05  7.667e-02 2.018e-03  0.1304   4.0026   21.26   5.28  226.72  10.07  1.16 0.05   2.457  0.499    0.480   1.825e+14 5.533e+12  7.930e+12 6.251e+11  0.0435 0.0037   1.647e+14 5.071e+12  7.053e+12 5.373e+11  0.0428 0.0035
3C_294                           14:06:44.09   34:11:24.8  1.7790  0.540 0.582   7.475 5.850  3.014e+14 1.350e+15  0.272 0.329   9.302 7.885  1.925e+14 1.038e+15  9.135e+44 6.633e+43    0.912  0.029   23.153  2.791  6.771e-01 4.786e-01  5.787e-02 4.456e-02  8.053e-03 9.555e-03  1.166e-02 3.069e-04  4.404e-02 1.159e-03  0.9990   5.0444     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
3C_295                           14:11:20.28   52:12:10.5  0.4641  0.514 0.178   1.780 0.903  6.263e+13 6.787e+13  0.246 0.022   2.132 0.260  3.422e+13 9.292e+12  4.557e+44 1.499e+44      -      -        -      -        -         -          -         -          -         -          -         -          -         -      0.0885  -5.1243     -      -       -      -     -    -       -      -      0.271   4.609e+13 5.842e+12  1.095e+13 2.850e+11  0.2376 0.0307   4.418e+13 4.811e+12  9.334e+12 2.200e+11  0.2113 0.0235
3C_444                           22:14:25.59  -17:01:36.3  0.1530  1.087 0.035   5.421 0.233  4.310e+14 4.149e+13  0.473 0.013   5.224 0.208  1.774e+14 1.503e+13  1.440e+44 1.740e+42    3.516  0.116   11.596  0.222  6.577e-01 2.303e-01  2.454e-01 4.530e-02  2.439e-03 2.386e-03  2.268e-03 5.967e-05  6.371e-02 1.677e-03  0.2378   6.2604    5.51   0.30  119.34   1.93  1.30 0.02   0.626  0.042    0.321   5.524e+13 4.462e+12      -         -         -      -     8.455e+13 5.686e+12      -         -         -      -  
400d_J0230+1836                   2:30:29.00   18:36:09.4  0.7990  0.697 0.164   4.524 1.291  2.284e+14 1.637e+14  0.340 0.064   5.424 1.199  1.331e+14 7.610e+13  5.230e+44 6.783e+43      -      -        -      -    3.440e+00 2.385e+00  2.076e-01 2.335e-01  3.517e-03 2.172e-02  5.169e-03 1.360e-04  4.291e-02 1.129e-03  0.4165  -2.7684     -      -       -      -     -    -       -      -        -         -         -          -         -         -      -         -         -          -         -         -      -  
