#  Columms are:
#  1) T_{500}  [keV]
#  2) Gaussian error in T_{500}  [keV]
#  3) Bolometric luminosity [ergs/s]
#  4) Gaussian error in Bolometric luminosity [erg/s]

2.331 0.241 1.694e+42 7.637e+40
8.720 2.554 5.943e+44 4.088e+43
6.053 0.534 1.939e+45 2.721e+43
0.628 0.031 1.839e+42 1.695e+42
4.776 0.226 6.251e+44 8.703e+42
6.975 0.175 4.370e+44 4.000e+42
4.371 0.322 1.137e+44 2.615e+42
7.475 5.850 9.135e+44 6.633e+43
1.780 0.903 4.557e+44 1.499e+44
5.421 0.233 1.440e+44 1.740e+42
4.524 1.291 5.230e+44 6.783e+43
2.966 0.511 4.545e+43 3.709e+42
3.484 1.043 2.640e+43 6.213e+42
4.688 0.689 1.258e+45 6.683e+43
5.154 1.258 3.791e+44 2.647e+43
5.412 0.957 5.290e+44 4.163e+43
4.708 1.051 1.676e+43 2.011e+42
5.254 1.195 3.569e+44 2.471e+43
5.140 0.899 5.310e+44 3.565e+43
2.487 0.364 3.524e+43 3.252e+42
2.995 0.752 2.903e+43 3.663e+42
4.918 0.856 2.805e+44 1.658e+43
4.262 0.801 4.176e+44 3.944e+43
3.990 0.412 3.199e+44 2.080e+43
3.263 0.900 3.462e+44 4.385e+43
2.492 0.367 1.316e+43 1.436e+42
7.967 1.120 7.136e+44 2.677e+43
5.205 1.455 2.053e+44 1.776e+43
1.576 0.190 1.089e+43 2.690e+42
4.812 1.293 2.289e+44 2.357e+43
3.952 0.876 1.965e+44 1.622e+43
4.190 0.536 7.413e+43 4.482e+42
2.302 0.437 1.681e+43 3.112e+42
3.536 0.199 3.440e+43 1.641e+42
2.536 0.298 3.139e+43 5.044e+42
4.538 0.201 9.653e+43 1.603e+42
9.027 1.522 1.012e+45 3.598e+43
6.311 0.104 5.449e+44 2.756e+42
3.631 0.401 5.430e+43 2.575e+42
5.849 0.097 9.785e+43 1.114e+42
4.537 0.694 8.562e+43 5.873e+42
4.205 0.050 1.328e+44 1.329e+42
7.108 1.007 4.222e+44 1.507e+43
1.703 0.064 9.425e+42 4.588e+41
3.670 0.157 7.236e+43 1.301e+42
8.797 0.772 9.083e+44 1.852e+43
2.279 0.011 9.250e+42 6.451e+40
7.739 0.754 7.579e+44 1.727e+43
5.851 0.830 7.573e+44 2.545e+43
8.487 0.652 9.647e+44 1.688e+43
4.613 0.221 6.566e+43 1.742e+42
5.257 0.255 4.139e+44 8.656e+42
6.908 0.139 2.863e+44 1.919e+42
2.623 0.080 1.465e+43 4.813e+41
7.595 0.105 7.432e+44 1.881e+42
7.599 1.131 9.464e+44 2.914e+43
7.575 0.174 1.722e+45 6.596e+42
4.436 0.034 1.422e+44 6.965e+41
3.695 0.243 4.930e+43 1.623e+42
8.214 0.120 7.361e+44 7.817e+42
7.082 0.175 6.710e+44 6.442e+42
2.873 0.031 3.422e+43 9.421e+41
7.449 0.360 6.574e+44 9.509e+42
3.125 0.152 2.249e+43 6.699e+41
5.627 0.313 3.227e+44 8.212e+42
3.285 0.234 5.154e+43 1.987e+42
4.425 0.117 5.184e+43 6.982e+41
2.699 0.201 1.418e+43 1.060e+42
5.999 0.389 7.704e+44 1.036e+43
4.692 0.540 4.493e+44 1.301e+43
8.175 0.781 9.710e+44 1.603e+43
6.867 0.198 6.299e+44 4.201e+42
8.574 0.267 6.832e+44 7.777e+42
13.559 1.825 1.818e+45 2.929e+43
2.335 0.317 2.748e+43 1.775e+42
8.424 0.117 4.211e+44 1.703e+42
8.063 0.625 9.616e+44 1.619e+43
6.465 1.007 5.125e+44 2.417e+43
5.098 0.321 3.610e+44 6.327e+42
4.061 0.370 1.756e+44 5.826e+42
4.503 0.235 3.806e+44 9.230e+42
5.898 0.172 6.470e+44 8.189e+42
6.708 0.354 8.671e+44 1.038e+43
4.553 0.225 1.167e+44 2.736e+42
6.636 0.583 4.996e+44 1.247e+43
5.612 0.194 2.960e+44 4.011e+42
5.004 0.278 4.806e+44 6.804e+42
2.184 0.145 3.273e+42 2.428e+41
3.049 0.157 9.703e+43 3.512e+42
5.730 0.225 3.822e+44 6.362e+42
4.324 0.286 4.715e+44 1.103e+43
4.377 0.400 6.941e+43 3.682e+42
5.438 0.218 3.364e+44 5.277e+42
14.351 2.271 1.441e+45 3.373e+43
10.013 1.913 2.863e+44 1.251e+43
7.427 0.194 9.106e+44 6.392e+42
5.876 0.396 5.707e+44 9.580e+42
3.429 0.122 9.146e+43 1.932e+42
7.513 0.744 5.893e+44 1.366e+43
2.171 0.108 3.532e+43 1.587e+42
7.703 0.782 4.578e+44 1.361e+43
5.223 0.077 8.631e+43 9.114e+41
5.733 0.073 4.939e+44 2.497e+42
6.762 0.386 4.915e+44 7.742e+42
5.009 0.223 4.083e+44 5.916e+42
3.185 0.282 6.961e+43 2.559e+42
7.284 0.640 5.088e+44 9.204e+42
10.239 0.290 2.106e+45 1.297e+43
10.685 4.300 6.868e+44 2.963e+43
3.353 0.086 3.911e+43 7.509e+41
